Superorder,Order,Family,Species,Body Mass,Brain Mass,Telencephalon,Diencephalon,Mesencephalon,Cerebellum,Medulla,Reproductive Mode,Trophic Mode,Ecological Lifestyle
Holocephali,Chimaeriformes,Callorhinchidae,Callorhinchus milii,2850,3.12,0.67,0.23,0.56,0.70,0.96,Egg-Laying,Lecithotrophic,Shelf
,,Chimaeridae,Chimaera lignaria,14400,7.24,3.20,0.34,0.61,1.32,1.76,Egg-Laying,Lecithotrophic,Deep
,,,Hydrolagus bemisi,2145,2.99,1.02,0.22,0.33,0.58,0.83,Egg-Laying,Lecithotrophic,Deep
,,,Hydrolagus novaezealandiae,1120,2.90,1.22,0.19,0.32,0.51,0.66,Egg-Laying,Lecithotrophic,Deep
,,Rhinochimaeridae,Harriotta raleighana,2205,3.07,0.51,0.20,0.44,0.42,1.51,Egg-Laying,Lecithotrophic,Deep
,,,Rhinochimaera pacifica,2975,2.25,0.41,0.13,0.29,0.35,1.07,Egg-Laying,Lecithotrophic,Deep
Batoidea,Myliobatiformes,Dasyatidae,Dasyatis brevicaudata,39000,30.34,15.13,0.81,3.54,5.80,5.05,Lipid Histotrophy,Matrotrophic,Deep
,,,Dasyatis centroura,5660,18.27,9.33,0.99,1.59,3.57,2.78,Lipid Histotrophy,Matrotrophic,Shelf
,,,Dasyatis fluviorum,2950,10.46,5.05,0.40,1.04,2.29,1.68,Lipid Histotrophy,Matrotrophic,Shelf
,,,Dasyatis thetidis,21000,29.47,15.76,0.84,3.31,4.76,4.80,Lipid Histotrophy,Matrotrophic,Pelagic
,,,Himantura fai,11380,40.80,23.16,1.44,3.73,7.23,5.23,Lipid Histotrophy,Matrotrophic,Reef
,,,Neotrygon kuhlii,1370,10.83,6.07,0.49,1.12,1.72,1.43,Lipid Histotrophy,Matrotrophic,Reef
,,,Pastinachus atrus,15000,23.32,12.45,0.88,2.01,5.13,2.85,Lipid Histotrophy,Matrotrophic,Reef
,,,Taeniura lymma,360,5.68,3.23,0.26,0.64,0.84,0.71,Lipid Histotrophy,Matrotrophic,Reef
,,Gymnuridae,Gymnura australis,2890,3.79,1.23,0.20,0.62,0.39,1.35,Lipid Histotrophy,Matrotrophic,Shelf
,,Myliobatidae,Aetobatus narinari,3200,18.46,11.19,1.10,0.94,2.64,2.58,Lipid Histotrophy,Matrotrophic,Shelf
,,,Myliobatis freminvillei,5430,12.71,5.57,0.71,1.29,2.86,2.28,Lipid Histotrophy,Matrotrophic,Shelf
,,,Myliobatis tenuicaudatus,626,5.09,2.59,0.15,0.82,0.74,0.79,Lipid Histotrophy,Matrotrophic,Shelf
,,Urolophidae,Trygonoptera testacea,1100,3.56,1.61,0.28,0.41,0.58,0.68,Lipid Histotrophy,Matrotrophic,Shelf
,,,Urolophus bucculentus,270,2.96,1.30,0.17,0.36,0.41,0.55,Lipid Histotrophy,Matrotrophic,Shelf
,,,Urolophus cruciatus,706,2.46,1.17,0.08,0.37,0.38,0.45,Lipid Histotrophy,Matrotrophic,Shelf
,,,Urolophus paucimaculatus,70,0.89,0.43,0.06,0.12,0.10,0.19,Lipid Histotrophy,Matrotrophic,Shelf
,,Urotrygonidae,Urobatis halleri,316,2.71,1.23,0.15,0.33,0.47,0.53,Lipid Histotrophy,Matrotrophic,Shelf
,Rajiformes,Rajidae,Dentiraja lemprieri,492,1.41,0.48,0.08,0.21,0.24,0.39,Egg-Laying,Lecithotrophic,Shelf
,,,Dipturus canutus,2850,3.20,1.34,0.25,0.35,0.52,0.75,Egg-Laying,Lecithotrophic,Deep
,,,Dipturus confusus,1400,1.27,0.37,0.11,0.15,0.19,0.45,Egg-Laying,Lecithotrophic,Shelf
,,,Dipturus gudgeri,2133,2.68,0.92,0.21,0.32,0.42,0.82,Egg-Laying,Lecithotrophic,Deep
,,,Dipturus innominatus,1499,0.88,0.30,0.05,0.13,0.13,0.26,Egg-Laying,Lecithotrophic,Deep
,,,Dipturus polyommata,220,1.61,0.53,0.12,0.22,0.28,0.46,Egg-Laying,Lecithotrophic,Deep
,,,Raja eglanteria,1100,1.61,0.53,0.12,0.22,0.28,0.46,Egg-Laying,Lecithotrophic,Shelf
,Rhinopristiformes,Rhinobatidae,Aptychotrema rostrata,700,2.13,0.78,0.14,0.32,0.39,0.50,Lipid Histotrophy,Matrotrophic,Shelf
